Park,Trail position,Number of singles
Beatton,off,7
Beatton,on,6
Birkenhead,off,5
Birkenhead,on,9
Boya,off,0
Boya,on,0
Charlie,off,6
Charlie,on,4
Crooked,off,6
Crooked,on,4
Elephant,off,1
Elephant,on,0
Ellison,off,7
Ellison,on,13
Fintry,off,1
Fintry,on,2
Kalamalka,off,3
Kalamalka,on,5
Kinaskan,off,4
Kinaskan,on,3
Lakelse,off,5
Lakelse,on,5
Marble,off,1
Marble,on,4
Mehatl,off,16
Mehatl,on,22
Nahatlatch,off,8
Nahatlatch,on,4
Nairns,off,2
Nairns,on,1
Oregon,off,12
Oregon,on,6
Pine,off,2
Pine,on,5
Skaha,off,1
Skaha,on,1
Skihist,off,1
Skihist,on,6
South,off,0
South,on,1
Steelhead,off,0
Steelhead,on,2
Whiskers,off,6
Whiskers,on,4
